"No.","Rubro","Ejercicio","NOM_MUN","Inversión","Habitantes beneficiados","Obra"
"67","Infraestructura Hídrica",2024,"Almoloya",173101.599474887,NA,"Estudio y proyecto para la línea de conducción marginal; tramo Acopinalco - Ciudad Sahagún; incluye proyecto ejecutivo; estudio hidrológico; delimitación de zona federal para su ocupación; con base en el trámite CONAGUA-02-002; manifiesto de impacto ambiental y análisis costo beneficio."
"68","Vialidades Urbanas",2022,"Almoloya",994980.28,671,"Construcción de pavimentación hidráulica de calle Vicente Guerrero en la localidad de Tepepatlaxco; municipio de Almoloya"
"69","Infraestructura Carretera",2024,"Almoloya",10598142.57,2864,"Construcción de pavimentación asfáltica de la carretera Rancho Viejo - Las Vigas; en el municipio de Almoloya"
"70","Espacios Públicos",2023,"Almoloya",4533820.88,4802,"Construcción de barda perimetral y pavimento en el Mercado Municipal; de Almoloya."
"71","Infraestructura Hídrica",2024,"Apan",644074.2679011,NA,"Estudio y proyecto para la línea de conducción marginal; tramo Acopinalco - Ciudad Sahagún; incluye proyecto ejecutivo; estudio hidrológico; delimitación de zona federal para su ocupación; con base en el trámite CONAGUA-02-002; manifiesto de impacto ambiental y análisis costo beneficio."
"72","Espacios Públicos",2024,"Apan",296438.52,28792,"Rehabilitación de CGI de Apan"
"73","Espacios Públicos",2024,"Apan",19907998.74,NA,"Obras complementarias para la operación de la línea de transmisión LT230KV.; en el municipio de Apan."
"74","Vialidades Urbanas",2022,"Apan",1952414.01,NA,"Rehabilitación de avenida Morelos; entre Av. Reforma y Av. Zaragoza; colonia Centro; municipio de Apan"
"75","Infraestructura Carretera",2024,"Apan",2531697.56,484,"Construcción de cunetas y obras de drenaje para protección del acceso a Malayerba; municipio de Apan"
"76","Infraestructura Carretera",2024,"Apan",8502757.37,814,"Construcción de pavimentación asfáltica Acceso a Jiquilpan; en el municipio de Apan."
"77","Vialidades Urbanas",2022,"Apan",9532481.6,28792,"Rehabilitación de la calle Jaime Nunó oriente del km 0+000 al km 0+766; en el municipio de Apan"
"78","Infraestructura Carretera",2025,"Apan",12524503.31,NA,"Terminación de la C.E. Chimalpa - Cárdenas - San Juan Ixtilmaco y obras complementarias; en el municipio de Apan"
"79","Infraestructura Carretera",2023,"Apan",5093623.22,484,"Rehabilitación de carretera de acceso a Malayerba; en el municipio de Apan"
