"ID"	"CVEGEO_MUN"	"NOM_MUN"	"Rubro"	"Inversión"	"Habitantes beneficiados"	"Ejercicio"	"Obra"	"tiene_geo"
47	13004	"Agua Blanca de Iturbide"	"Vivienda Asequible"	140575.91	4	2024	"Construcción de cuartos dormitorios en el municipio de Agua Blanca de Iturbide"	TRUE
48	13004	"Agua Blanca de Iturbide"	"Infraestructura Carretera"	15618248.25	NA	2023	"Reconstrucción de la C.E. Agua Blanca-Zacualpa; en el municipio de Agua Blanca"	FALSE
49	13005	"Ajacuba"	"Vialidades Urbanas"	3142161.55	8254	2023	"Pavimentación con concreto hidráulico en calle Julian Villagrán entre calle Zacatecas y calle Guelatao, colonia El Salitre; en el municipio de Ajacuba"	TRUE
50	13005	"Ajacuba"	"Infraestructura Carretera"	25679733.25	NA	2025	"Reconstrucción de la C.E. Tecamatl - Ajacuba, en el municipio de Ajacuba"	FALSE
51	13005	"Ajacuba"	"Infraestructura Carretera"	15856116.2	14299	2023	"Reconstrucción de carpeta asfáltica de la C.E. Ajacuba - San Juan Tepa, municipio de Ajacuba"	TRUE
52	13005	"Ajacuba"	"Vivienda Asequible"	397142.43	12	2024	"Construcción de cuartos dormitorios en el municipio de Ajacuba"	TRUE
53	13005	"Ajacuba"	"Vialidades Urbanas"	3939297.39	4558	2024	"Construcción de pavimentación con concreto hidráulico en Calle Tlaloc, en la localidad de Santiago Tezontlale, Colonia Cuauhtémoc, municipio de Ajacuba."	TRUE
54	13005	"Ajacuba"	"Infraestructura Hídrica"	2472913.55	1800	2022	"Construcción de sistema de agua potable en Vicente Guerrero, etapa cuatro de cuatro"	TRUE
55	13005	"Ajacuba"	"Infraestructura Hídrica"	3680423.35	1800	2024	"Reposición de pozo para agua potable en la localidad de Vicente Guerrero, municipio de Ajacuba"	TRUE
56	13006	"Alfajayucan"	"Infraestructura Hídrica"	201051	1794	2023	"Pago por Avalúo ante el Instituto de Administración y Avalúos de Bienes Nacionales (INDAABIN), de 12 afectados, por la liberación del derecho de vía para construir la línea de interconexión de las presas \" El Yathe-VicenteAguirre\", municipio de Alfajayucan, estado de Hidalgo."	TRUE
57	13006	"Alfajayucan"	"Infraestructura Hídrica"	101069235.73	1794	2024	"Terminación de construcción del canal de interconexión en la presa el Yathé, Alfajayucan"	TRUE
58	13006	"Alfajayucan"	"Infraestructura Carretera"	14137493.01	NA	2025	"Rehabilitación del camino Zundhó - Sifón - San Agustín, en el municipio de Alfajayucan"	FALSE
59	13006	"Alfajayucan"	"Infraestructura Hídrica"	18560000	NA	2025	"Puesta en marcha del canal de interconexión entre la Presa El Yathé y la Presa Vicente Aguirre, en el municipio de Alfajayucan"	FALSE
60	13006	"Alfajayucan"	"Infraestructura Hídrica"	58960144.4	1794	2023	"Construcción de obra de toma, línea de conducción del Canal de Interconexión de la Presa de Almacenamiento \"El Yathé\" al Canal Principal Vicente Aguirre del Km 0+046.26 al Km 0+623.30, en el municipio de Alfajayucan."	TRUE
61	13006	"Alfajayucan"	"Infraestructura Hídrica"	3381883.09	280	2022	"Construcción de pozo profundo para agua potable de la localidad de Cebolletas, Alfajayucan (Primera Etapa)"	TRUE
62	13006	"Alfajayucan"	"Infraestructura Carretera"	8900829.86	342	2024	"Pavimentación asfáltica de 2 tramos de la C.M. Chilcuautla - Alfajayucan, en el municipio de Alfajayucan"	FALSE
63	13006	"Alfajayucan"	"Infraestructura Carretera"	3800517.73	122	2023	"Pavimentación asfáltica de camino El Madho, municipio de Alfajayucan"	TRUE
64	13006	"Alfajayucan"	"Infraestructura Hídrica"	1907617.96	801	2024	"Perforación del Pozo Profundo en la localidad de San Francisco Sacachichilco, municipio de Alfajayucan, Hgo. (Perforación exploratoria)"	TRUE
65	13006	"Alfajayucan"	"Infraestructura Hídrica"	4100000	801	2025	"Perforación del Pozo Profundo en la localidad de San Francisco Sacachichilco, municipio de Alfajayucan, Hgo. (Terminación)."	FALSE
66	13007	"Almoloya"	"Espacios Públicos"	4533820.88	4802	2023	"Construcción de barda perimetral y pavimento en el Mercado Municipal, de Almoloya."	TRUE
67	13007	"Almoloya"	"Infraestructura Carretera"	10598142.57	2864	2024	"Construcción de pavimentación asfáltica de la carretera Rancho Viejo - Las Vigas, en el municipio de Almoloya"	TRUE
68	13007	"Almoloya"	"Vialidades Urbanas"	994980.28	671	2022	"Construcción de pavimentación hidráulica de calle Vicente Guerrero en la localidad de Tepepatlaxco, municipio de Almoloya"	TRUE
69	13008	"Apan"	"Espacios Públicos"	11937798.83	927	2024	"Construcción de caseta de control y barda perimetral SE maniobras, Acopinalco municipio de Apan."	FALSE
70	13008	"Apan"	"Espacios Públicos"	546069.58	28792	2023	"SEMEFO Apan"	TRUE
71	13008	"Apan"	"Espacios Públicos"	1200000	NA	2023	"Pago de afectaciones por la construcción del acceso al Hospital regional de Apan"	TRUE
72	13008	"Apan"	"Infraestructura Carretera"	35631549.8	NA	2023	"Reconstrucción de la C.E. Apan - La Unión (Limites con el Estado de Tlaxcala)."	TRUE
73	13008	"Apan"	"Infraestructura Carretera"	8878583.87	NA	2023	"Reconstrucción de la carretera estatal Apan - La Unión"	TRUE
74	13008	"Apan"	"Vialidades Urbanas"	9532481.6	28792	2022	"Rehabilitación de la calle Jaime Nunó oriente del km 0+000 al km 0+766, en el municipio de Apan"	TRUE
75	13008	"Apan"	"Vialidades Urbanas"	1952414.01	NA	2022	"Rehabilitación de avenida Morelos, entre Av. Reforma y Av. Zaragoza, colonia Centro, municipio de Apan"	TRUE
76	13008	"Apan"	"Espacios Públicos"	296438.52	28792	2024	"Rehabilitación de CGI de Apan"	TRUE
77	13008	"Apan"	"Espacios Públicos"	19907998.74	NA	2024	"Obras complementarias para la operación de la línea de transmisión LT230KV., en el municipio de Apan."	FALSE
78	13008	"Apan"	"Infraestructura Carretera"	12524503.31	NA	2025	"Terminación de la C.E. Chimalpa - Cárdenas - San Juan Ixtilmaco y obras complementarias, en el municipio de Apan"	FALSE
79	13008	"Apan"	"Infraestructura Carretera"	3e+07	NA	2025	"Construcción de pavimentación asfáltica en la C.E. Acopinalco - Apan (primera etapa), en el municipio de Apan"	FALSE
80	13008	"Apan"	"Infraestructura Hídrica"	4864872.04	147	2024	"Perforación exploratoria y terminación de pozo para uso público urbano, en la localidad de El Tigre, municipio de Apan, Hidalgo."	TRUE
81	13008	"Apan"	"Vialidades Urbanas"	18297073.76	1740	2024	"Construcción de pavimentación de concreto hidráulico en acceso a la localidad La Laguna,municipio de Apan."	TRUE
