"No.","Municipio_Original","CVEGEO","NOM_MUN","Rubro","Ejercicio","Obra","Localidad","Inversión","Avance","Habitantes beneficiados"
"60","Alfajayucan","13006","Alfajayucan","Infraestructura Hídrica","2023","Construcción de obra de toma línea de conducción del Canal de Interconexión de la Presa de Almacenamiento ""El Yathé"" al Canal Principal Vicente Aguirre del Km 0+046.26 al Km 0+623.30 en el municipio de Alfajayucan.","Barrio Panotlán",58960144.4,"0.91249999999999998","1794"
"56","Alfajayucan","13006","Alfajayucan","Infraestructura Hídrica","2023","Pago por Avalúo ante el Instituto de Administración y Avalúos de Bienes Nacionales (INDAABIN) de 12 afectados por la liberación del derecho de vía para construir la línea de interconexión de las presas "" El Yathe-VicenteAguirre"" municipio de Alfajayucan estado de Hidalgo.","Alfajayucan",201051,"1","1794"
"67","Almoloya","13007","Almoloya","Infraestructura Carretera","2024","Construcción de pavimentación asfáltica de la carretera Rancho Viejo - Las Vigas en el municipio de Almoloya","Las Vigas",10598142.57,"1","2864"
"66","Almoloya","13007","Almoloya","Espacios Públicos","2023","Construcción de barda perimetral y pavimento en el Mercado Municipal de Almoloya.","Almoloya",4533820.88,"0.95","4802"
"68","Almoloya","13007","Almoloya","Vialidades Urbanas","2022","Construcción de pavimentación hidráulica de calle Vicente Guerrero en la localidad de Tepepatlaxco municipio de Almoloya","Tepepatlaxco (El Llano)",994980.28,"1","671"
"77","Apan","13008","Apan","Espacios Públicos","2024","Obras complementarias para la operación de la línea de transmisión LT230KV. en el municipio de Apan.","Apan",19907998.74,"0.18640000000000001","NA"
"76","Apan","13008","Apan","Espacios Públicos","2024","Rehabilitación de CGI de Apan","Apan",296438.52,"0.98","28792"
"75","Apan","13008","Apan","Vialidades Urbanas","2022","Rehabilitación de avenida Morelos entre Av. Reforma y Av. Zaragoza colonia Centro municipio de Apan","Apan",1952414.01,"1","NA"
"78","Apan","13008","Apan","Infraestructura Carretera","2025","Terminación de la C.E. Chimalpa - Cárdenas - San Juan Ixtilmaco y obras complementarias en el municipio de Apan","Apan",12524503.31,"0","NA"
"72","Apan","13008","Apan","Infraestructura Carretera","2023","Reconstrucción de la C.E. Apan - La Unión (Limites con el Estado de Tlaxcala).","Apan",35631549.8,"0.98","NA"
"71","Apan","13008","Apan","Espacios Públicos","2023","Pago de afectaciones por la construcción del acceso al Hospital regional de Apan","Apan",1200000,"0","NA"
"79","Apan","13008","Apan","Infraestructura Carretera","2025","Construcción de pavimentación asfáltica en la C.E. Acopinalco - Apan (primera etapa) en el municipio de Apan","Apan",30000000,"0","NA"
"73","Apan","13008","Apan","Infraestructura Carretera","2023","Reconstrucción de la carretera estatal Apan - La Unión","Apan",8878583.87,"1","NA"
"80","Apan","13008","Apan","Infraestructura Hídrica","2024","Perforación exploratoria y terminación de pozo para uso público urbano en la localidad de El Tigre municipio de Apan Hidalgo.","El Tigre",4864872.04,"0.32740000000000002","147"
"74","Apan","13008","Apan","Vialidades Urbanas","2022","Rehabilitación de la calle Jaime Nunó oriente del km 0+000 al km 0+766 en el municipio de Apan","Apan",9532481.6,"1","28792"
"70","Apan","13008","Apan","Espacios Públicos","2023","SEMEFO Apan","Apan",546069.58,"0.99","28792"
"69","Apan","13008","Apan","Espacios Públicos","2024","Construcción de caseta de control y barda perimetral SE maniobras Acopinalco municipio de Apan.","Acopinalco",11937798.83,"0.95819999999999994","927"
"84","Apan","13008","Apan","Infraestructura Carretera","2024","Construcción de cunetas y obras de drenaje para protección del acceso a Malayerba municipio de Apan","Malayerba",2531697.56,"1","484"
"86","Apan","13008","Apan","Infraestructura Carretera","2023","Reconstrucción de carpeta asfáltica de la C.E. Cárdenas - San Juan Ixtilmaco en el municipio de Apan.","San Juan Ixtilmaco",13772926.91,"0.87","4831"
"85","Apan","13008","Apan","Infraestructura Carretera","2024","Construcción de pavimentación asfáltica Acceso a Jiquilpan en el municipio de Apan.","San José Jiquilpan",8502757.37,"0.9","814"
"81","Apan","13008","Apan","Vialidades Urbanas","2024","Construcción de pavimentación de concreto hidráulico en acceso a la localidad La Lagunamunicipio de Apan.","La Laguna",18297073.76,"0.85","1740"
"83","Apan","13008","Apan","Infraestructura Carretera","2023","Rehabilitación de carretera de acceso a Malayerba en el municipio de Apan","Malayerba",5093623.22,"1","484"
"82","Apan","13008","Apan","Infraestructura Carretera","2023","Reconstrucción de la C.E. Chimalpa -Cárdenas en el municipio de Apan","Lázaro Cárdenas",27089714.51,"0.82","2957"
"88","Atitalaquia","13010","Atitalaquia","Infraestructura Carretera","2024","Construcción de libramiento del Dendho a la carretera Tula - Jorobas en el municipio de Atitalaquia.","Cardonal",13152429.01,"0.74","12081"
