"ID"	"No."	"NOM_MUN"	"Rubro"	"Ejercicio"	"Obra"	"Localidad"	"Habitantes beneficiados"	"Ejecutora"	"Trabajos"	"tiene_geo"
"119_Calnali"	119	"Calnali"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Calnali"	"Agiladero, Buenavista, Camotla, Coyula, Pezmatlán, San Andrés (San Andrés Chichayotla), Santa Lucía (Mesa de Santa Lucía)"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1190_Tezontepec de Aldama"	1190	"Tezontepec de Aldama"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Tezontepec de Aldama"	"Atengo, Binola, El Chamizal, Huitel, Mangas, San Gabriel, Tezontepec de Aldama"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1197_Tezontepec de Aldama"	1197	"Tezontepec de Aldama"	"Vialidades Urbanas"	2024	"Pavimentación hidráulica de avenida Revolución, San Gabriel Atengo - Achichilco, municipio de Tezontepec de Aldama."	"San Gabriel"	3062	"DGOPI"	"Considera los trabajos de preliminares, riego de impregnación, piso para pavimento de concreto Hidráulico, en la localidad de San Gabriel Atengo municipio de  Tezontepec de Aldama"	FALSE
"1199_Tezontepec de Aldama"	1199	"Tezontepec de Aldama"	"Vialidades Urbanas"	2023	"Pavimentación hidráulica en calle Jazmines, en la localidad de Tenango; en el municipio de Tezontepec de Aldama."	"Tenango"	1548	"DGIVC"	"Considera los trabajos de preliminares, piso para pavimento de concreto hidráulico."	TRUE
"1204_Tianguistengo"	1204	"Tianguistengo"	"Vivienda Asequible"	2022	"Construcción de Cuarto Dormitorio, en el municipio de Tianguistengo"	"Varias"	52	"DGIVC"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1205_Tianguistengo"	1205	"Tianguistengo"	"Infraestructura Carretera"	2024	"Rehabilitación de la carretera Tianguistengo a Pemuxco, municipio de Tianguistengo"	"Varias"	NA	NA	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tianguistengo"	TRUE
"1208_Tizayuca"	1208	"Tizayuca"	"Vialidades Urbanas"	2023	"Pavimentación de concreto hidráulico en el acceso a Huitzila, tramo: E.C. Carr. México - Pachuca a la calle Campeche; en el municipio de Tizayuca."	"Tizayuca"	60265	"DGCCE"	"Considera los trabajos de preliminares, riego de impregnación, piso para pavimento de concreto hidráulico."	TRUE
"1209_Tizayuca"	1209	"Tizayuca"	"Vialidades Urbanas"	2023	"Pavimentación asfáltica circuito Pirules, municipio de Tizayuca."	"Tizayuca"	NA	"DGCCE"	"Considera los trabajos de capa subbase, riego de impregnación, suministro y aplicación de riego de liga con emulsión asfáltica"	TRUE
"1210_Tizayuca"	1210	"Tizayuca"	"Vialidades Urbanas"	2023	"Rehabilitación de pavimento asfáltico de la avenida Juárez, tramo: Blvd. Las Torres hacia E.C Libramiento Club Rotario, en el municipio de Tizayuca."	"Tizayuca"	NA	"DGCCE"	"Se realizan los siguientes trabajos: trazo y nivelación de plazas, suministro y aplicación de carpeta asfáltica compactado,  en el municipio de Tizayuca"	TRUE
"1212_Tizayuca"	1212	"Tizayuca"	"Vialidades Urbanas"	2024	"Rehabilitación del Boulevard Ejército Mexicano, tramo Glorieta del Soldado E.C.F. México Pachuca."	"Tizayuca"	NA	"DGIVC"	"Considera trabajos en la rehabilitación y/o mejoramiento de las vialidades urbanas en el muncipio de Tizayuca"	TRUE
"1213_Tizayuca"	1213	"Tizayuca"	"Infraestructura Hídrica"	2022	"Inversión de 2.8 mdp en la adquisición de 6 macromedidores para pozos, tanques y cárcamos principales de Matilde y Tizayuca."	"Varias"	120960	"CAASIM"	"Considera los trabajos para la rehabilitación y equipamiento de pozo el municipio deTizayuca"	TRUE
"1219_Tlahuiltepa"	1219	"Tlahuiltepa"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Tlahuiltepa"	"Calderones, Cerro Del Águila, El Duraznito, Itztamichapa, Las Manzanas, Lázaro Cárdenas, Palo Perdido, San Marcos"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1222_Tlahuiltepa"	1222	"Tlahuiltepa"	"Infraestructura Carretera"	2024	"Construye tu camino del tramo Las Manzanas - El Roble, en el municipio de Tlahuiltepa."	"Las Manzanas, El Roble"	NA	"DGCCE"	"Considera los trabajos de construcción de huellas de concreto hidráulico y empedrado en la localidad, el cual consta de terracerías y pisos de concreto."	TRUE
"1229_Tlahuiltepa"	1229	"Tlahuiltepa"	"Infraestructura Hídrica"	2022	"Construcción de sanitario con biodigestor, en el municipio de Tlahuiltepa"	"Varias"	NA	"SIPDUS"	"Considera los trabajos instalación hidráulica, instalación eléctrica, instalación de biodigestor, acabados y albañilería, excavación de biodigestor."	TRUE
"1230_Tlahuiltepa"	1230	"Tlahuiltepa"	"Vivienda Asequible"	2022	"Construcción de Cuarto Dormitorio, en el municipio de Tlahuiltepa"	"Varias"	NA	"DGCCE"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1231_Tlanalapa"	1231	"Tlanalapa"	"Infraestructura Hídrica"	2024	"Rehabilitación de red de agua potable en San Isidro, municipio de Tlanalapa."	"San Isidro (Fraccionamiento)"	1277	"DGIVC"	"Considera los trabajos de instalación de tubería, rellenos con material producto de excavación, prueba de la tubería en la comunidad."	TRUE
"1235_Tlanalapa"	1235	"Tlanalapa"	"Vialidades Urbanas"	2023	"Reconstrucción de calle asfáltica Tlanalapa - Chinconcuac; en el municipio de Tlanalapa"	"Varias"	NA	"DGOPI"	"Se realizan los siguientes trabajos: trazo y nivelación de plazas, suministro y aplicación de carpeta asfáltica compactado."	TRUE
"1236_Tlanchinol"	1236	"Tlanchinol"	"Infraestructura Carretera"	2023	"Rehabilitación del acceso a Acahuasco, del km 0+000 al km 6+000; en el municipio de Tlanchinol."	"Acahuasco"	1358	"DGCCE"	"Se consideran trabajos de revestimiento, cunetas y limpieza de cunetas."	TRUE
"1237_Tlanchinol"	1237	"Tlanchinol"	"Infraestructura Carretera"	2023	"Rehabilitación del tramo E.C. (Casetas - Otongo) - Amoxco, del Km 0+000 al Km 14+500."	"Amoxco"	345	"DGIVC"	"Se consideran trabajos de revestimiento, cunetas y limpieza de cunetas."	TRUE
"1238_Tlanchinol"	1238	"Tlanchinol"	"Infraestructura Hídrica"	2024	"PTAR Chichatla.- Reposición de muro de mampostería en laguna de oxidación, desazolve de laguna de oxidación y reposición de filtro, geomembrana y plantas macrófitos, reposición de 25 m de muro de mampostería y malla ciclónica de 2.00 m en cercado perimetral."	"Chichatla"	1217	"CEAA"	"Ejecuta trabajos para el mantenimiento y mejoramiento de la Planta de tratamiento en la localidad de Chichatla municipio de Tlanchinol."	TRUE
"1240_Tlanchinol"	1240	"Tlanchinol"	"Infraestructura Carretera"	2024	"Rehabilitación de camino E.C. de Tlanchinol a Hueyapa, a Cuatlimax, del Km 0.000 al Km 10.000, en el municipio de Tlanchinol."	"Cuatlimax"	2143	"DGCCE"	"Considera los trabajos de preliminares, revestimiento de camino en la localidad de Cuatlimax municipio de Tlanchinol"	TRUE
"1241_Tlanchinol"	1241	"Tlanchinol"	"Infraestructura Hídrica"	2022	"Construcción de planta de tratamiento en Hueyapa, municipio de Tlanchinol, etapa dos de tres"	"Hueyapa"	1472	"CEAA"	"Considera los trabajos para la  Construcción de la planta de tratamiento de aguas residuales en la localidad de Hueyapa municipio de Tlanchinol."	TRUE
"1245_Tlanchinol"	1245	"Tlanchinol"	"Infraestructura Carretera"	2023	"Rehabilitación del tramo E.C. (Orizatlán - San José) - Rancho Nuevo, del km 0+000 al km 2+000; en el municipio de Tlanchinol."	"Rancho Nuevo"	111	"DGIVC"	"Se consideran trabajos de revestimiento, cunetas y limpieza de cunetas."	TRUE
"1250_Tlanchinol"	1250	"Tlanchinol"	"Infraestructura Carretera"	2024	"Rehabilitación de la carretera de Temango a Santa Lucía a Pahuayo, municipio de Tlanchinol"	"Santa Lucía"	687	NA	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Santa Lucía municipio de Tlanchinol"	TRUE
"1253_Tlanchinol"	1253	"Tlanchinol"	"Infraestructura Carretera"	2024	"Rehabilitación del camino a Tierra Colorada, municipio de Tlanchinol"	"Tierra Colorada"	345	NA	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Tierra Colorada municipio de Tlanchinol"	TRUE
"1258_Tlanchinol"	1258	"Tlanchinol"	"Vivienda Asequible"	2022	"Construcción de cuarto dormitorio, en el municipio de Tlanchinol"	"Varias"	NA	"DGCCE"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1259_Tlanchinol"	1259	"Tlanchinol"	"Vivienda Asequible"	2022	"Construcción de Cuarto Dormitorio, en el municipio de Tlanchinol"	"Varias"	NA	"DGCCE"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1260_Tlanchinol"	1260	"Tlanchinol"	"Infraestructura Carretera"	2024	"Rehabilitación de camino E.C. de Tlanchinol a Apantlazol, tramo Chichatla a Xochititla, del Km 0.000 al Km 10.000, en el municipio de Tlanchinol."	"Varias"	NA	"DGCCE"	"Considera los trabajos de preliminares, revestimiento de camino en el municipio de Tlanchinol"	TRUE
"1261_Tlanchinol"	1261	"Tlanchinol"	"Infraestructura Carretera"	2024	"Reconstrucción de la C.E. Tlanchinol a Hueyapa a Temango, en el municipio de Tlanchinol"	"Varias"	NA	"DGCCE"	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tlanchinol"	TRUE
"1274_Tula de Allende"	1274	"Tula de Allende"	"Infraestructura Hídrica"	2023	"Ampliación del sistema de agua potable en la localidad de Nantzha etapa tres de tres, Tula de Allende."	"Nantzha"	1944	"CEAA"	"Se tiene la instalación de válvulas en línea de alimentación con su respectiva caja de operación de válvulas."	TRUE
"1275_Tula de Allende"	1275	"Tula de Allende"	"Infraestructura Hídrica"	2023	"Mejoramiento y adecuación de la red de alcantarillado del Centro del Municipio de Tula de Allende&#9;"	"Tula de Allende"	29390	"SIPDUS"	"Considera los trabajos de excavaciones y rellenos, descargas domiciliarias, red de alcantarillado."	TRUE
"1276_Tula de Allende"	1276	"Tula de Allende"	"Espacios Públicos"	2023	"Rehabilitación en fachadas y policarbonato del CRIRH, sede Tula de Allende."	"Tula de Allende"	NA	"DGOPI"	"Considera trabajos en infraestructura del Espacio Público en el municipio de Tula de Allende."	TRUE
"1277_Tula de Allende"	1277	"Tula de Allende"	"Espacios Públicos"	2022	"Mejoramiento del CERESO de Tula de Allende"	"Tula de Allende"	NA	"DGOPI"	"Considera trabajos en infraestructura en Seguridad Pública en CERESO en el municipio de Tula de Allende."	TRUE
"1278_Tula de Allende"	1278	"Tula de Allende"	"Espacios Públicos"	2024	"Mejoramiento y ampliación al CERESO Tula de Allende"	"Tula de Allende"	29390	"DGOPI"	"Considera trabajos en infraestructura en Seguridad Pública en CERESO en el municipio de Tula de Allende."	TRUE
"1279_Tula de Allende"	1279	"Tula de Allende"	"Infraestructura Hídrica"	2022	"Adecuación, puesta en marcha y estabilización de 5 plantas potabilizadoras y 2 desgasificadoras de la región Tula-Tepetitlán (etapa 1 de 3)"	"Varias"	29390	"CEAA"	"Considera para la adecuación, puesta en marcha y estabilización de plantas potabilizadoras en el municipio de Tula de Allende."	TRUE
